building_id,surface_m2,year_built,building_type,city,energy_consumption_kwh,co2_emissions_kg,energy_class
1,139.9,1994,Industrie,Lyon,104.1,20.9,F
2,114.5,1996,Industrie,Lille,271.8,62.3,E
3,,1962,Résidentiel,Lyon,187.9,32.1,E
4,180.9,1971,Résidentiel,Lyon,144.6,35.1,A
5,110.6,1970,Résidentiel,Marseille,165.9,54.9,E
6,110.6,1958,Industrie,Lille,228.4,28.0,C
7,183.2,1975,Industrie,Lyon,162.4,55.0,E
8,150.7,1958,Industrie,Nantes,93.0,30.1,C
9,101.2,1964,École,Lyon,199.6,43.1,B
10,141.7,1959,Industrie,Lille,252.5,28.1,B
11,101.5,1991,École,Toulouse,248.5,,D
12,101.4,2021,Résidentiel,Lille,146.4,40.0,C
13,129.7,1973,Résidentiel,Marseille,256.2,42.7,F
14,43.5,1998,Résidentiel,Toulouse,192.8,19.2,B
15,51.0,1975,Bureau,Nantes,254.5,31.3,E
16,97.5,1986,Bureau,Paris,214.4,49.4,A
17,79.5,2017,Commerce,Lille,88.7,42.2,A
18,132.6,1999,Commerce,Marseille,284.8,30.3,G
19,83.7,1973,Commerce,Nantes,183.1,27.8,C
20,63.5,1968,Bureau,Toulouse,214.6,58.4,F
21,178.6,2009,Bureau,Nantes,99.4,17.6,D
22,111.0,1988,Commerce,Lille,210.3,34.3,E
23,122.7,1967,Commerce,Lyon,246.2,17.4,C
24,63.0,1968,Industrie,Lille,296.1,50.8,G
25,98.2,1985,Commerce,Paris,264.0,34.9,A
26,124.4,2004,Industrie,Lille,213.3,37.1,C
27,74.0,2018,École,Toulouse,87.3,68.2,E
28,135.0,1996,Bureau,Toulouse,,27.9,F
29,96.0,1998,Commerce,Lille,144.4,56.0,F
30,108.3,1982,Bureau,Toulouse,194.1,30.3,B
31,95.9,1970,Bureau,Lyon,107.0,32.2,E
32,194.1,1971,Bureau,Nantes,,66.7,G
33,119.5,1997,École,Lille,,33.1,B
34,77.7,1986,Résidentiel,Lyon,147.1,18.5,B
35,152.9,1964,Commerce,Nantes,147.7,38.4,B
36,,1984,Résidentiel,Nantes,171.8,32.9,C
37,128.4,2020,Résidentiel,Lyon,,39.4,G
38,41.6,1981,Résidentiel,Marseille,,33.4,A
39,66.9,1960,Bureau,Lille,40.0,61.6,F
40,127.9,1959,Industrie,Nantes,159.7,41.7,C
41,149.5,2022,Bureau,Nantes,,22.1,A
42,126.9,2006,Bureau,Toulouse,191.3,36.5,F
43,115.4,1974,Résidentiel,Nantes,136.3,25.4,G
44,108.0,1951,Bureau,Lyon,180.6,32.0,G
45,60.9,2013,Résidentiel,Nantes,187.6,24.1,E
46,91.2,1984,Industrie,Marseille,135.9,60.3,F
47,101.6,1956,Commerce,Lille,240.8,26.7,F
48,162.3,1967,Résidentiel,Lille,190.6,43.3,G
49,133.7,2016,Industrie,Nantes,212.8,31.1,F
50,49.5,1991,Commerce,Paris,184.1,21.1,D
51,133.0,1988,École,Paris,306.2,37.4,E
52,104.6,1990,Résidentiel,Lyon,215.8,39.8,C
53,92.9,1973,Résidentiel,Paris,150.7,41.7,C
54,144.5,2009,École,Lyon,229.3,5.0,A
55,161.2,1995,École,Toulouse,81.7,20.2,C
56,157.3,1968,Résidentiel,Lyon,,46.5,B
57,86.4,2017,École,Paris,199.1,23.9,F
58,107.6,1991,Bureau,Nantes,187.9,37.4,C
59,133.3,1981,Commerce,Toulouse,,19.9,A
60,159.0,1988,Commerce,Paris,119.3,43.8,A
61,100.8,1985,Commerce,Lyon,132.6,,B
62,112.6,1985,Bureau,Marseille,186.1,43.8,A
63,75.7,1952,École,Lille,,47.4,G
64,72.2,2022,Industrie,Paris,286.2,53.8,D
65,152.5,1957,École,Lyon,40.0,20.9,G
66,174.2,2019,Résidentiel,Toulouse,160.6,25.5,F
67,117.1,1990,Commerce,Paris,186.6,,F
68,160.1,2017,École,Paris,210.4,48.6,F
69,134.5,1962,Industrie,Lille,125.0,26.9,E
70,94.2,1998,Résidentiel,Lyon,248.1,26.1,C
71,134.5,2009,Bureau,Marseille,96.4,27.2,D
72,181.5,1951,Bureau,Toulouse,146.0,15.7,C
73,118.6,2009,Industrie,Lyon,217.2,19.7,D
74,182.6,1954,Résidentiel,Toulouse,242.4,20.0,C
75,20.0,1993,Commerce,Paris,95.8,31.5,B
76,152.9,1976,École,Lille,338.7,38.3,G
77,123.5,1981,Résidentiel,Lille,126.2,40.2,A
78,108.0,1970,Bureau,Nantes,101.3,28.9,A
79,,1957,Industrie,Marseille,210.2,29.2,G
80,40.5,2021,Industrie,Lille,159.1,36.5,B
81,111.2,1999,École,Paris,150.2,17.0,D
82,134.3,2016,Industrie,Marseille,215.7,46.5,G
83,179.1,1993,Industrie,Lyon,88.4,50.4,E
84,,2007,Résidentiel,Lille,77.9,27.5,D
85,87.7,1952,Commerce,Marseille,144.2,30.2,A
86,99.9,2019,École,Paris,244.7,49.9,E
87,156.6,1951,Résidentiel,Nantes,146.8,33.5,C
88,133.2,1993,Commerce,Toulouse,275.9,,E
89,98.8,1951,Résidentiel,Toulouse,252.1,,D
90,140.5,1984,Résidentiel,Paris,197.0,53.7,B
91,123.9,1979,Industrie,Paris,200.4,40.9,C
92,158.7,1957,Commerce,Toulouse,,41.6,D
93,91.9,1971,École,Nantes,189.6,,C
94,106.9,1993,École,Marseille,158.0,28.3,E
95,104.3,2007,Commerce,Toulouse,165.0,29.4,A
96,61.5,1985,Industrie,Paris,115.8,44.2,D
97,131.8,2018,Bureau,Lille,47.4,36.5,B
98,130.4,1980,Résidentiel,Lyon,,20.9,G
99,120.2,1996,Industrie,Nantes,189.4,57.5,E
100,110.6,2004,Commerce,Nantes,,46.7,D
101,63.4,2011,Résidentiel,Lille,203.9,35.5,B
102,103.2,1979,École,Lille,130.3,31.7,D
103,106.3,2004,Bureau,Paris,,37.4,E
104,87.9,1965,École,Toulouse,163.0,41.2,D
105,113.5,1961,Commerce,Marseille,262.1,10.6,C
106,136.2,1966,Résidentiel,Nantes,109.9,60.3,E
107,195.4,1965,Commerce,Nantes,40.0,25.5,D
108,127.0,1961,Résidentiel,Lille,148.7,35.0,G
109,130.3,1957,Industrie,Toulouse,248.6,35.4,A
110,117.0,1952,Bureau,Nantes,76.0,59.0,D
111,43.2,1965,Industrie,Marseille,109.2,33.9,C
112,118.9,1979,Industrie,Lille,195.8,54.1,B
113,,1972,Commerce,Marseille,334.2,39.9,G
114,,1954,Bureau,Toulouse,98.5,23.5,B
115,112.3,2014,Résidentiel,Nantes,96.2,36.6,G
116,132.1,1979,Résidentiel,Lyon,200.3,33.6,B
117,118.6,1970,École,Nantes,252.3,22.0,A
118,73.3,2019,Résidentiel,Toulouse,142.6,,C
119,165.7,1971,Commerce,Nantes,82.7,35.3,E
120,150.1,2021,Industrie,Nantes,206.0,41.7,B
121,151.6,1981,Industrie,Paris,216.9,37.3,G
122,83.6,1982,Industrie,Nantes,286.7,27.2,C
123,,1965,Bureau,Nantes,219.4,44.2,D
124,63.9,1987,Résidentiel,Marseille,229.7,27.5,A
125,143.5,1963,Commerce,Lyon,164.3,5.0,C
126,,1985,Bureau,Marseille,326.5,36.5,C
127,80.4,1972,École,Marseille,,,E
128,97.3,2015,Commerce,Lille,143.3,39.6,C
129,124.0,1951,Commerce,Paris,288.6,59.0,E
130,99.9,2022,Commerce,Marseille,91.5,,A
131,58.0,2014,Industrie,Toulouse,69.2,33.0,A
132,122.7,2016,Commerce,Toulouse,187.2,25.1,D
133,77.5,2001,Résidentiel,Nantes,179.9,42.0,E
134,138.9,2011,Commerce,Lille,166.3,30.6,E
135,83.2,1972,Industrie,Paris,,39.7,B
136,182.0,1975,Commerce,Paris,125.5,27.1,B
137,88.7,2017,École,Nantes,183.9,38.0,D
138,107.1,2004,École,Toulouse,158.4,25.3,A
139,152.5,1955,Industrie,Lyon,,49.2,F
140,70.8,1984,Résidentiel,Lille,,27.9,B
141,129.1,1971,Résidentiel,Nantes,231.2,42.9,C
142,172.3,1992,Bureau,Lille,307.2,19.8,A
143,55.7,1964,Industrie,Toulouse,214.8,44.4,F
144,127.4,2009,Commerce,Toulouse,40.0,23.4,C
145,130.4,1961,Industrie,Lyon,,38.1,G
146,151.3,1998,Bureau,Lyon,183.0,47.3,E
147,70.5,1991,Industrie,Paris,236.2,32.6,A
