variable;type;absences_avant;espaces_corriges;vides_detectes;absences_apres;pourcentage_absent
champ_v9;string;0;20880;56;56;0.27
cnit;string;0;20880;0;0;0.0
co2_mixte;float64;56;0;0;56;0.27
co_typ_1;float64;275;0;0;275;1.32
conso_exurb;float64;121;0;0;121;0.58
conso_mixte;float64;56;0;0;56;0.27
conso_urb_93;float64;121;0;0;121;0.58
date_maj;string;0;0;0;0;0.0
dscom;string;0;20880;0;0;0.0
energ;string;0;20880;0;0;0.0
hc;float64;11983;0;0;11983;57.39
hcnox;float64;9145;0;0;9145;43.8
hybride;string;0;20880;0;0;0.0
lib_mod_doss;string;0;20880;0;0;0.0
lib_mrq_doss;string;0;20880;0;0;0.0
masse_ordma_max;int64;0;0;0;0;0.0
masse_ordma_min;int64;0;0;0;0;0.0
mod_utac;string;0;20880;0;0;0.0
mrq_utac;string;0;20880;0;0;0.0
nox;float64;275;0;0;275;1.32
ptcl;float64;1710;0;0;1710;8.19
puiss_admin;int64;0;0;0;0;0.0
puiss_heure;float64;19985;0;0;19985;95.71
puiss_max;float64;56;0;0;56;0.27
tvv;string;0;20880;0;0;0.0
typ_boite_nb_rapp;string;0;20880;0;0;0.0
