cnit           ; lib_mrq_doss             ; lib_mod_doss             ; energ; hybride; typ_boite_nb_rapp; puiss_admin; puiss_max; masse_ordma_min; masse_ordma_max; conso_mixte; co2_mixte
M10ALFVP000G340; ALFA ROMEO               ; 159                      ; ES   ; non    ; M 6              ;          12;     147.0;            1505;            1505;         7.8;     182.0
M10ALFVP000H341; ALFA ROMEO               ; 159                      ; ES   ; non    ; M 6              ;          12;     147.0;            1555;            1555;         8.0;     186.0
M10ALFVP000E302; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           7;     100.0;            1565;            1565;         5.1;     134.0
M10ALFVP000F303; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           7;     100.0;            1565;            1565;         5.1;     134.0
M10ALFVP000J306; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           7;     100.0;            1615;            1615;         5.2;     137.0
M10ALFVP000J307; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           7;     100.0;            1615;            1615;         5.2;     137.0
M10ALFVP000G304; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           9;     125.0;            1565;            1565;         5.3;     139.0
M10ALFVP000H305; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           9;     125.0;            1565;            1565;         5.3;     139.0
M10ALFVP000K308; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           9;     125.0;            1615;            1615;         5.4;     142.0
M10ALFVP000L309; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           9;     125.0;            1615;            1615;         5.4;     142.0
M10ALFVP000S255; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           9;     125.0;            1615;            1615;         5.2;     139.0
M10ALFVP000U221; ALFA ROMEO               ; 159                      ; GO   ; non    ; M 6              ;           9;     125.0;            1565;            1565;         5.1;     136.0
M10ALFVP000S413; ALFA ROMEO               ; 4C                       ; ES   ; non    ; A 6              ;          14;     177.0;             995;             995;         6.8;     157.0
M10ALFVP0005293; ALFA ROMEO               ; AR8C SPIDER              ; ES   ; non    ; M 6              ;          38;     331.0;            1750;            1750;        16.3;     379.0
M10ALFVP0006039; ALFA ROMEO               ; AR8C SPIDER              ; ES   ; non    ; M 6              ;          38;     331.0;            1750;            1750;        16.3;     379.0
M10ALFVP0003266; ALFA ROMEO               ; BRERA                    ; ES   ; non    ; M 6              ;          12;     147.0;            1505;            1505;         8.1;     189.0
M10ALFVP0004267; ALFA ROMEO               ; BRERA                    ; ES   ; non    ; M 6              ;          12;     147.0;            1505;            1505;         8.1;     189.0
M10ALFVP0007270; ALFA ROMEO               ; BRERA                    ; GO   ; non    ; M 6              ;           9;     120.0;            1555;            1555;         5.4;     142.0
M10ALFVP0008271; ALFA ROMEO               ; BRERA                    ; GO   ; non    ; M 6              ;           9;     120.0;            1555;            1555;         5.4;     142.0
M10ALFVP0005268; ALFA ROMEO               ; BRERA                    ; GO   ; non    ; M 6              ;           9;     125.0;            1555;            1555;         5.4;     142.0
M10ALFVP0006269; ALFA ROMEO               ; BRERA                    ; GO   ; non    ; M 6              ;           9;     125.0;            1555;            1555;         5.4;     142.0
M10ALFVP0008332; ALFA ROMEO               ; GIULIETTA                ; ES   ; non    ; M 6              ;           6;      77.0;            1355;            1355;         6.4;     149.0
M10ALFVP0009333; ALFA ROMEO               ; GIULIETTA                ; ES   ; non    ; M 6              ;           6;      77.0;            1355;            1355;         6.4;     149.0
